item,condition,sentence
125,Sem,I blacked out and was confused when I regained duration.
125,Synt,I blacked out and was confused when I regained consciousnesses.
126,Control,"After she deceived her mother, she had a guilty conscience."
126,SemCrit,"After she deceived her mother, she had a guilty consciousness."
126,Sem,"After she deceived her mother, she had a guilty musket."
126,Synt,"After she deceived her mother, she had a guilty consciences."
127,Control,The sudden change in protocol had caused all this consternation.
127,SemCrit,The sudden change in protocol had caused all this constellation.
127,Sem,The sudden change in protocol had caused all this inflection.
127,Synt,The sudden change in protocol had caused all this consternations.
128,Control,The Big Dipper may perhaps be the most famous constellation.
128,SemCrit,The Big Dipper may perhaps be the most famous consternation.
128,Sem,The Big Dipper may perhaps be the most famous immunity.
128,Synt,The Big Dipper may perhaps be the most famous constellations.
129,Control,The herd of cows was out grazing in a pasture.
129,SemCrit,The herd of cows was out grazing in a pastor.
129,Sem,The herd of cows was out grazing in an altercation.
129,Synt,The herd of cows was out grazing in a pastures.
130,Control,The congregation listens to a sermon delivered by a pastor.
130,SemCrit,The congregation listens to a sermon delivered by a pasture.
130,Sem,The congregation listens to a sermon delivered by an escalation.
130,Synt,The congregation listens to a sermon delivered by a pastors.
131,Control,A soldier fighting for the highest bidder is a mercenary.
131,SemCrit,A soldier fighting for the highest bidder is a missionary.
131,Sem,A soldier fighting for the highest bidder is an apostrophe.
131,Synt,A soldier fighting for the highest bidder is a mercenaries.
132,Control,The devout Christian girl travelled to India as a missionary.
132,SemCrit,The devout Christian girl travelled to India as a mercenary.
132,Sem,The devout Christian girl travelled to India as an admission.
132,Synt,The devout Christian girl travelled to India as a missionaries.
133,Control,That white dog with little black spots is a dalmatian.
133,SemCrit,That white dog with little black spots is a damnation.
133,Sem,That white dog with little black spots is an umpire.
133,Synt,That white dog with little black spots is a dalmations.
134,Control,"Once Faust signed, he was doomed to this eternal damnation."
134,SemCrit,"Once Faust signed, he was doomed to this eternal dalmatian."
134,Sem,"Once Faust signed, he was doomed to this eternal inference."
134,Synt,"Once Faust signed, he was doomed to this eternal damnations."
135,Control,The crowded urban neighborhood had a very high population density.
135,SemCrit,The crowded urban neighborhood had a very high population destiny.
135,Sem,The crowded urban neighborhood had a very high population missionary.
135,Synt,The crowded urban neighborhood had a very high population densities.
136,Control,I control my fate; I don't have a predetermined destiny.
136,SemCrit,I control my fate; I don't have a predetermined density.
136,Sem,I control my fate; I don't have a predetermined embargo.
136,Synt,I control my fate; I don't have a predetermined destinies.
137,Control,"She didn't answer the phone, so I left a message."
137,SemCrit,"She didn't answer the phone, so I left a massage."
137,Sem,"She didn't answer the phone, so I left a tapestry."
137,Synt,"She didn't answer the phone, so I left a messages."
138,Control,My back was so tense I really needed a massage.
138,SemCrit,My back was so tense I really needed a message.
138,Sem,My back was so tense I really needed a cartridge.
138,Synt,My back was so tense I really needed a massages.
139,Control,The president of the college handed each graduate a diploma.
139,SemCrit,The president of the college handed each graduate a diplomat.
139,Sem,The president of the college handed each graduate an infection.
139,Synt,The president of the college handed each graduate a diplomas.
140,Control,The ambassador who negotiated the deal was a skilled diplomat.
140,SemCrit,The ambassador who negotiated the deal was a skilled diploma.
140,Sem,The ambassador who negotiated the deal was a skilled constellation.
140,Synt,The ambassador who negotiated the deal was a skilled diplomats.
141,Control,The retiree found he soon tired of all this leisure.
141,SemCrit,The retiree found he soon tired of all this lesion.
141,Sem,The retiree found he soon tired of all this phonology.
141,Synt,The retiree found he soon tired of all this leisures.
142,Control,His personality was dramatically altered after acquiring this brain lesion.
142,SemCrit,His personality was dramatically altered after acquiring this brain leisure.
142,Sem,His personality was dramatically altered after acquiring this brain rhino.
142,Synt,His personality was dramatically altered after acquiring this brain lesions.
143,Control,The low intensity workout compensated by having a long duration.
143,SemCrit,The low intensity workout compensated by having a long adoration.
143,Sem,The low intensity workout compensated by having a long Frankenstein.
143,Synt,The low intensity workout compensated by having a long durations.
144,Control,"He idolized her, and her self-esteem benefited from this adoration."
144,SemCrit,"He idolized her, and her self-esteem benefited from this duration."
144,Sem,"He idolized her, and her self-esteem benefited from this synthesizer."
144,Synt,"He idolized her, and her self-esteem benefited from this adorations."
145,Control,Yuan emperors were Mongolian because Kublai Khan founded this dynasty.
145,SemCrit,Yuan emperors were Mongolian because Kublai Khan founded this dynamite.
145,Sem,Yuan emperors were Mongolian because Kublai Khan founded this inebriation.
145,Synt,Yuan emperors were Mongolian because Kublai Khan founded this dynasties.
146,Control,That grenade explodes stronger than a stick of this dynamite.
146,SemCrit,That grenade explodes stronger than a stick of this dynasty.
146,Sem,That grenade explodes stronger than a stick of this infamy.
146,Synt,That grenade explodes stronger than a stick of this dynamites.
147,Control,"The contraction for ""it is"" needs to include an apostrophe."
147,SemCrit,"The contraction for ""it is"" needs to include an apocalypse."
147,Sem,"The contraction for ""it is"" needs to include a jugular."
147,Synt,"The contraction for ""it is"" needs to include an apostrophes."
148,Control,The doomsday preacher urged repentance and warned of an apocalypse.
148,SemCrit,The doomsday preacher urged repentance and warned of an apostrophe.
148,Sem,The doomsday preacher urged repentance and warned of a pharaoh.
148,Synt,The doomsday preacher urged repentance and warned of an apocalypses.
149,Control,The soldier rammed gunpowder down the barrel of a musket.
149,SemCrit,The soldier rammed gunpowder down the barrel of a muskrat.
149,Sem,The soldier rammed gunpowder down the barrel of a distraction.
149,Synt,The soldier rammed gunpowder down the barrel of a muskets.
150,Control,Two common semi-aquatic rodents are a beaver and a muskrat.
150,SemCrit,Two common semi-aquatic rodents are a beaver and a musket.
150,Sem,Two common semi-aquatic rodents are a beaver and a collection.
150,Synt,Two common semi-aquatic rodents are a beaver and a muskrats.
151,Control,"To make the car accelerate, press down on this pedal."
151,SemCrit,"To make the car accelerate, press down on this petal."
151,Sem,"To make the car accelerate, press down on this immorality."
151,Synt,"To make the car accelerate, press down on this pedals."
152,Control,"He loves me? she wondered, plucking off a daisy petal."
152,SemCrit,"He loves me? she wondered, plucking off a daisy pedal."
152,Sem,"He loves me? she wondered, plucking off a daisy coroner."
152,Synt,"He loves me? she wondered, plucking off a daisy petals."
153,Control,"Rather than reducing violence, the intervention just caused an escalation."
153,SemCrit,"Rather than reducing violence, the intervention just caused an escalator."
153,Sem,"Rather than reducing violence, the intervention just caused a pedal."
153,Synt,"Rather than reducing violence, the intervention just caused an escalations."
154,Control,She scolded the child for running backwards up an escalator.
154,SemCrit,She scolded the child for running backwards up an escalation.
154,Sem,She scolded the child for running backwards up an apocalypse.
154,Synt,She scolded the child for running backwards up an escalators.
155,Control,"Intestinal problems may indicate a tapeworm, a type of parasite."
155,SemCrit,"Intestinal problems may indicate a tapeworm, a type of parasol."
155,Sem,"Intestinal problems may indicate a tapeworm, a type of density."
155,Synt,"Intestinal problems may indicate a tapeworm, a type of parasites."
156,Control,"To protect herself from the sun, she carried a parasol."
156,SemCrit,"To protect herself from the sun, she carried a parasite."
156,Sem,"To protect herself from the sun, she carried a physicist."
156,Synt,"To protect herself from the sun, she carried a parasols."
157,Control,"Considering my previous experiences, I had a rather low expectation."
157,SemCrit,"Considering my previous experiences, I had a rather low expedition."
157,Sem,"Considering my previous experiences, I had a rather low diplomat."
157,Synt,"Considering my previous experiences, I had a rather low expectations."
158,Control,Blizzards are deadly hazards for explorers on an arctic expedition.
158,SemCrit,Blizzards are deadly hazards for explorers on an arctic expectation.
158,Sem,Blizzards are deadly hazards for explorers on an arctic sympathizer.
158,Synt,Blizzards are deadly hazards for explorers on an arctic expeditions.
159,Control,Claiming two wrongs make a right is a common fallacy.
159,SemCrit,Claiming two wrongs make a right is a common facility.
159,Sem,Claiming two wrongs make a right is a common excursion.
159,Synt,Claiming two wrongs make a right is a common fallacies.
160,Control,Don't call it a prison; call it a correctional facility.
160,SemCrit,Don't call it a prison; call it a correctional fallacy.
160,Sem,Don't call it a prison; call it a correctional mortal.
160,Synt,Don't call it a prison; call it a correctional facilities.
